date,max_temp,min_temp
2026-08-22,36.0,26.6
2026-08-23,36.3,25.8
2026-08-24,35.5,26.5
2026-08-25,33.3,25.9
2026-08-26,35.7,26.5
2026-08-27,37.6,26.7
2026-08-28,37.9,26.7
2026-08-29,37.5,26.0
